,customer_id,article_ids
0,000fb6e772c5d0023892065e659963da90b1866035558ec16fca51b0dcfb7e59,"[610776002 706016001 706016002 782760013 749175001 746298001 714083008
 680757003]"
1,0024dea548c64fb75a563e0b300c0b16210decee446f1aa9ed6dcf2cc965d462,"[706016001 562245001 841992002 706388002 513325004 562245046 871005003
 678942001]"
2,00357b192b81fc83261a45be87f5f3d59112db7d117513c1e908e6a7021edc35,"[610776002 706016001 751674001 905492002 903389001 871005003 783493002
 543862005]"
3,0036a44bd648ce2dbc32688a465b9628b7a78395302f26dd57b4ed75dce9b70c,"[448509014 706016002 759871002 706016003 720125001 448509001 741356002
 562245046]"
4,0040e2fc2d1e7931a38355aca56b2c62b87e65051b72878c813c093d7b9b87aa,"[706016001 610776002 759871002 706016002 448509014 706016003 562245001
 158340001]"
5,00415737ad0daa6c1e16bbbca3baa69dfeb257e8ceef5f1bdd62fba48e323249,"[706016002 706016003 610776002 562245046 706016015 720125001 554450001
 610776001]"
6,00551573f2c9112d1f1659762691619b3d3fae5dbad34799b1c7bd9a3a3de245,"[706016001 706016002 688537004 741356002 706016003 448509014 720125001
 610776002]"
7,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,"[706016001 706016003 610776002 448509014 759871002 610776001 688537004
 741356002]"
8,0065f1928ff9390d7f32945639088384b588e4929fdf3f39678c063a386ae2e7,"[706016001 706016002 610776002 706016003 448509014 759871002 562245046
 741356002]"
9,0069963bd7074605722a330ca5dc3d6ab616e1861d65f33cc70190e57af8049d,"[399087030 399087010 658030016 399087001 399087028 658030020 399087011
 658030005]"
10,0071a08839ee650528afe22a7bff79334a09eed3edf67b152bd4132c7c73b028,"[706016001 706016002 688537004 448509014 351484002 610776002 720125001
 706016003]"
11,00754012108569f9c99871720111a2b50aa7b6ebebe2a415914df8b8e5e120ff,"[706016001 706016002 720125001 819730003 644419001 617523001 601472001
 570968001]"
12,0077922bc342aca5f3ad0a67198ce22779eeb89f9861b9634370a8dc14c18e79,"[706016001 747726001 710832001 627262007 610631001 574211002 571369002
 563276001]"
13,0083773a51a9a7cef771c8e055c0c098bf410e64e254860ab0d7357f376c3ed5,"[706016001 610776002 706016002 749699001 610776001 562245001 562245046
 448509014]"
14,008ae11dd3105ae41a74f51a2581e1585cf69ac26cfc37610c30896ca2cf3c95,"[706016002 448509014 610776002 759871002 706016003 720125001 610776001
 806388002]"
15,008d5b0041e32fdd05046e4a7b3d5035359e10eebb758c911fe1efd2455feed6,"[610776002 658030011 399087030 706016001 610776001 399087010 658030020
 806388001]"
16,008fdadc3b5a58957554f466266bd9e601867b76b6a5067c462331d2807c1e3f,"[706016002 610776002 448509014 555684002 610776001 559556003 809841002
 569240001]"
17,00ae90f303ff3407777bc6d00ce28b4b6ce4ace5e4a504c5888c2a48d161c95e,"[791491003 650489001 545449007 593457003 579010012 562747001 540930015
 539357014]"
18,00b19d74d6d60c157a9e08e8d83d9b38b1142a32676543fb6e8ec7e15aa4eb36,"[706016002 610776002 562245046 610776001 448509014 399223001 759871002
 562245018]"
19,00b1b2b8c27c20887113ca50adafd9593762297cd8aa81ab1a02b564fc99ca78,"[706016001 610776002 578387001 568174026 868146002 742172006 706016002
 615310006]"
20,00b85be00378220968ddaa1a64fe051b29b8abded090ec374c5fe56c13b55a65,"[706016015 610776002 448509014 759871002 554479001 539723005 562245001
 562245046]"
21,00ba4601068a56dac6b5998e234f57aa8f1d743b996e52a2b1105a7131efb1ad,"[706016001 706016002 610776002 759871002 720125001 448509014 111593001
 610776001]"
22,00bd64efae1819619f186560e008ced86ad2234e47c1e936a8e30e829109d235,"[706016001 448509014 706016002 720125001 759871002 610776002 448509001
 706016003]"
23,00c160fd797be9c52491373b16ec194d4edb129c57266e85e65bb9814a25490d,"[706016001 706016002 759871002 720125001 610776001 590928001 351484002
 706016015]"
24,00c45ac78be670f11a64b98031163857e72fc9c91145b970fb0cfc9ac92da502,"[706016001 610776002 562245001 706016002 871005003 692930003 692930001
 706016003]"
25,00cdb4e63fd6e2c080e4022c107976db9f195cb558c24fac383d3d10ee11213c,"[706016002 610776002 448509014 562245001 706016015 562245046 759871002
 610776001]"
26,00ce59c448dcdbf0496a7a904ee129c0cfe73fed1e2a94dc1aa4aa2b704db9ac,"[706016001 706016002 610776002 706016003 562245001 448509014 562245046
 610776001]"
27,00d40c65c316c02eac7fb0c628afbf57d616eed4b08f69ecfc115ca643a308af,"[706016001 562245001 706016002 610776002 660147003 660147001 649615007
 624645009]"
28,00daef2733086cfb0176a97646cb510472ca608f74c475b9f5b8c753a8a20b66,"[706016001 706016002 448509014 706016003 562245001 759871002 562245046
 706016015]"
29,00e59bc10e162c83758a8ece0d6536d96fe2c7afdae9d5f97e58e16bd2a32619,"[706016002 706016003 610776002 720125001 759871002 706016015 590928001
 871005003]"
30,00eebac2c2e37626461e74e8395711964c4e01a7afa64337d020436c9dcb9f3d,"[706016001 448509014 706016002 607375001 582121001 581056003 539470001
 536163002]"
31,00ef0d28ba9c5077e4758b08bc04210c4fecdfc154c08497329730a04da1ef60,"[706016001 706016002 610776002 448509014 562245001 759871002 610776001
 562245046]"
32,00ef93f7e2a25316e61fba3f6393ee1ffcdb1bb7d78397834e78aff452059a34,"[706016001 610776002 706016002 610776001 749699002 751471001 706016003
 868001001]"
33,00f986a6c13943dc419f3b74a188db33bbb50bc5f9be4083deed4ff919858f49,"[706016001 706016002 554450001 720125001 741356002 749699001 706016003
 372860001]"
34,00fa33158eb59432984490a9c7bac5897496e841cca79982707844a3069b19c5,"[706016002 706016003 610776002 562245046 562245001 610776001 706016015
 448509014]"
35,00fa58c594393f6284c57db148fb71fd605647b60c5af7f534be0b0f85f14e44,"[706016001 706016002 759871002 706016003 372860001 720125001 562245001
 657243004]"
36,00fb78c72871ab2d103a1aafbd4c2aa15561af971aa41e259ca026b733a78e23,"[610776002 706016001 706016002 578020007 523017010 610776001 562245001
 562245046]"
37,00fe8fb9b5a49ed8c38699c1860847c266f288da271b1c718f0179ac026080e4,"[706016003 562245046 610776002 562245001 610776001 554450001 448509014
 399223033]"
38,00ff2cefd0f11593213fac85099062d6491fec5d840bdae02a99d36518c25080,"[610776001 706016001 706016002 562245001 372860001 706016003 741356002
 720125001]"
39,010109a899c4706836f7a96ec878ceb7ea9b0c246932058fe3770d1ae00f7afb,"[706016001 448509014 610776002 759871002 706016002 610776001 706016003
 688537004]"
40,0102139e1625a8ec251452694d070f1b37d8ecf58852fd18da5c839de0a26e51,"[706016001 610776002 706016002 720125001 871005003 688537004 610776001
 813775007]"
41,01081378def56a1512bad530cfca176422f086020da588ddd62fb625f20dce36,"[706016001 610776002 759871002 448509014 706016002 610776001 590928001
 741356002]"
42,010dde96a4f54fdacf2455bffb4d4a0e1615a3c52061ee470014b6bff9602c8a,"[706016001 706016015 610776002 741356002 610776001 720125001 759871002
 111586001]"
43,010e5da1f6bd727f521a500e8b00b279a7134e4f935bbf2e17b5e0c68c97e771,"[706016001 706016002 610776002 610776001 759871002 706016003 741356002
 720125001]"
44,01111989ee5b96b0f0a47c6fed861fbe19f6d63d3cdb4888499eefc02d564994,"[706016001 610776002 706016002 610776001 562245001 656589001 651264001
 539060022]"
45,011df7b7c7fd463a573d8413c7b8d17444d6c6d6756670662e1178347c059b99,"[706016003 706016015 759871002 448509014 610776002 720125001 621381012
 562245046]"
46,0120b3b12e51352a2fd7a00284010aaf9df4760f6e0f630cd1a4dcd27e969338,"[706016002 688537004 706016003 448509001 741356002 866383001 706016015
 720125001]"
47,01263e24418da00ccdc245f91bd1496c49884f77b49905c75b722e185e2dfc4d,"[759871001 706016001 706016002 811925011 759871004 560221004 448509014
 261840008]"
48,012ae734fb97c1f44025243d4b5a33ebfad7c222a80cf9f4e90c8ba9dedb001e,"[706016001 706016002 720125001 448509014 706016003 562245046 562245001
 759871002]"
49,012bbedf2efe728a7407a5dc842a852f8e09e9ae9727110c916ae13ebbc86395,"[706016015 562245001 399223001 610776002 554450001 706016019 539723005
 562245018]"
50,012c84b98ab7f1a7205a0c8f437b806c94903fc3ae2b2c862d7cb04783f860b3,"[706016001 448509014 610776002 706016002 751471001 610776001 562245001
 562245046]"
51,013a7f65c197366e78042b5b98ac5118fad1225f5dab480d7052db665c972e07,"[436261001 234432001 542402001 706016001 611415001 611415005 688537004
 123173001]"
52,0146fcf5109582c1dbb25033a5c314cfe671d573c75f05af3208426db5970dd4,"[706016001 706016002 610776002 706016003 610776001 759871002 692721005
 590928001]"
53,01471ae997220525c425057b31bf7f26ec40f2c02ccc468406b12a94687fc57e,"[610776001 448509014 706016015 562245001 562245046 720125001 554450001
 759871002]"
54,0152d53f51444891ea07013fd1fb8325415bb09bb6798a59359b21a8326d801b,"[662331001 655133005 607375001 582121001 581056003 539470001 536163002
 403994006]"
55,0157cebe695531af3ed87c1e0714d144be2a41c23cf80453e2326245b8d76a90,"[706016001 448509014 610776001 706016002 590928001 562245001 759871002
 158340001]"
56,0162c0eacae80811a6b926cb3432888bc3f5fffb963b66f4d250b5e9682a7cf2,"[706016001 706016002 720125001 610776002 448509014 610776001 692930001
 562245046]"
57,0163c83a9a9e6a6653ab4aaf448a2773168cb76e74712456c56ea722df4ee5d8,"[706016002 720125001 610776002 448509014 706016003 464297007 372860001
 717578001]"
58,01661bad253b21353092eaf49836913843e1fc0554a6745d865c14ac2659660a,"[399087030 610776002 706016001 399087010 562245001 399087014 399087029
 610776001]"
59,0169a29a6086bffdf76b48aa0d3e513cc5efec68559404ace2f8920eb94d44fa,"[706016002 759871002 706016003 448509014 720125001 610776001 741356002
 562245046]"
60,0169ec2bd9e7e0d8e9f2daedb40cc015761a511873928a9b86c78a47101f60f0,"[554450001 562245001 399087014 399087021 399087001 706016015 562245046
 759871002]"
61,017a9f2f998c62d53c355a190d2a5c944ec9063513372ce84dc8a7a4d18886c8,"[706016002 610776002 706016003 448509014 706016015 720125001 610776001
 759871002]"
